Voucher Type,Invoice No,Date,Ref,Dr Account,Cr.Account,Cost Center,Amount,Narration
sales,6456,16-08-2014,00996 / TEJA,,CFS Charges,00996 / TEJA,7612,JOBNO:00996/ AWB/BL.NO.:KKLUKR212941 dt.19/07/2014/ BE.NO.:6366570 dt.07/08/2014/ COW FINISHED LEATHER (1.8-2.0MM A155 ) (COLOR:TWO TONE BROWN) (1000 SFT @ USD 2.15 / SFT)/ 2 PLT/1673 KGS/ ,
sales,6456,16-08-2014,00996 / TEJA,,Service Tax,00996 / TEJA,315.18,JOBNO:00996/ AWB/BL.NO.:KKLUKR212941 dt.19/07/2014/ BE.NO.:6366570 dt.07/08/2014/ COW FINISHED LEATHER (1.8-2.0MM A155 ) (COLOR:TWO TONE BROWN) (1000 SFT @ USD 2.15 / SFT)/ 2 PLT/1673 KGS/ ,
sales,6457,16-08-2014,00996 / TEJA,TEJA INDUSTRIES,,00996 / TEJA,3711.24,JOBNO:00996/ AWB/BL.NO.:KKLUKR212941 dt.19/07/2014/ BE.NO.:6366570 dt.07/08/2014/ COW FINISHED LEATHER (1.8-2.0MM A155 ) (COLOR:TWO TONE BROWN) (1000 SFT @ USD 2.15 / SFT)/ 2 PLT/1673 KGS/ ,
sales,6457,16-08-2014,00996 / TEJA,,Transport Charges,00996 / TEJA,3600,JOBNO:00996/ AWB/BL.NO.:KKLUKR212941 dt.19/07/2014/ BE.NO.:6366570 dt.07/08/2014/ COW FINISHED LEATHER (1.8-2.0MM A155 ) (COLOR:TWO TONE BROWN) (1000 SFT @ USD 2.15 / SFT)/ 2 PLT/1673 KGS/ ,
sales,6457,16-08-2014,00996 / TEJA,,Service Tax,00996 / TEJA,111.24,JOBNO:00996/ AWB/BL.NO.:KKLUKR212941 dt.19/07/2014/ BE.NO.:6366570 dt.07/08/2014/ COW FINISHED LEATHER (1.8-2.0MM A155 ) (COLOR:TWO TONE BROWN) (1000 SFT @ USD 2.15 / SFT)/ 2 PLT/1673 KGS/ ,
sales,6458,16-08-2014,00998 / ITI,ITI LIMITED,,00998 / ITI,12359.56,JOBNO:00998/ AWB/BL.NO.:HDMUHKIH0890498 dt.05/07/2014/ BE.NO.:6326046 dt.04/08/2014/ D/S GLASS EPOXY COPPER CLAD LAMINATE (1.60 MM 18/18 1220 X 1067) ( 500 PCS @ USD 19.58/PCS) [FOR PCB]/ 2 PLT/2350 KGS/ ,
sales,6458,16-08-2014,00998 / ITI,,Agency charges,00998 / ITI,2100,JOBNO:00998/ AWB/BL.NO.:HDMUHKIH0890498 dt.05/07/2014/ BE.NO.:6326046 dt.04/08/2014/ D/S GLASS EPOXY COPPER CLAD LAMINATE (1.60 MM 18/18 1220 X 1067) ( 500 PCS @ USD 19.58/PCS) [FOR PCB]/ 2 PLT/2350 KGS/ ,
sales,6458,16-08-2014,00998 / ITI,,CFS Charges,00998 / ITI,10000,JOBNO:00998/ AWB/BL.NO.:HDMUHKIH0890498 dt.05/07/2014/ BE.NO.:6326046 dt.04/08/2014/ D/S GLASS EPOXY COPPER CLAD LAMINATE (1.60 MM 18/18 1220 X 1067) ( 500 PCS @ USD 19.58/PCS) [FOR PCB]/ 2 PLT/2350 KGS/ ,
sales,6458,16-08-2014,00998 / ITI,,Service Tax,00998 / ITI,259.56,JOBNO:00998/ AWB/BL.NO.:HDMUHKIH0890498 dt.05/07/2014/ BE.NO.:6326046 dt.04/08/2014/ D/S GLASS EPOXY COPPER CLAD LAMINATE (1.60 MM 18/18 1220 X 1067) ( 500 PCS @ USD 19.58/PCS) [FOR PCB]/ 2 PLT/2350 KGS/ ,
sales,6460,16-08-2014,01009 / ITI,ITI LIMITED,,01009 / ITI,11774.56,JOBNO:01009/ AWB/BL.NO.:38810147874 dt.25/07/2014/ BE.NO.:6379513 dt.08/08/2014/ LCD (DISPLAY MODULE WITH INT.TOUCH PANEL) (EM10001) (ELECTRONIC COMPONENTS FOR BIOMETRIC HAND HOLD DEVICE)/ 5 PKG/42 KGS/ ,
sales,6460,16-08-2014,01009 / ITI,,Agency charges,01009 / ITI,2100,JOBNO:01009/ AWB/BL.NO.:38810147874 dt.25/07/2014/ BE.NO.:6379513 dt.08/08/2014/ LCD (DISPLAY MODULE WITH INT.TOUCH PANEL) (EM10001) (ELECTRONIC COMPONENTS FOR BIOMETRIC HAND HOLD DEVICE)/ 5 PKG/42 KGS/ ,
sales,6460,16-08-2014,01009 / ITI,,AAI Charges,01009 / ITI,9415,JOBNO:01009/ AWB/BL.NO.:38810147874 dt.25/07/2014/ BE.NO.:6379513 dt.08/08/2014/ LCD (DISPLAY MODULE WITH INT.TOUCH PANEL) (EM10001) (ELECTRONIC COMPONENTS FOR BIOMETRIC HAND HOLD DEVICE)/ 5 PKG/42 KGS/ ,
sales,6460,16-08-2014,01009 / ITI,,Service Tax,01009 / ITI,259.56,JOBNO:01009/ AWB/BL.NO.:38810147874 dt.25/07/2014/ BE.NO.:6379513 dt.08/08/2014/ LCD (DISPLAY MODULE WITH INT.TOUCH PANEL) (EM10001) (ELECTRONIC COMPONENTS FOR BIOMETRIC HAND HOLD DEVICE)/ 5 PKG/42 KGS/ ,
sales,6461,16-08-2014,00964 / EIH,EIH ASSOCIATED HOTELS LIMITED,,00964 / EIH,4961.7,JOBNO:00964/ AWB/BL.NO.:60756511044 dt.21/07/2014/ BE.NO.:6284877 dt.30/07/2014/ AIR VALVE 4-WAY 1/8 NPT  RIGHT HAND   AJAX J 1586809 ( 2 PCS@ USD 154.00/PCS)  (LAUNDRY MACHINE PARTS)/ 1 PKG/32 KGS/ ,
sales,6461,16-08-2014,00964 / EIH,,Agency charges,00964 / EIH,2500,JOBNO:00964/ AWB/BL.NO.:60756511044 dt.21/07/2014/ BE.NO.:6284877 dt.30/07/2014/ AIR VALVE 4-WAY 1/8 NPT  RIGHT HAND   AJAX J 1586809 ( 2 PCS@ USD 154.00/PCS)  (LAUNDRY MACHINE PARTS)/ 1 PKG/32 KGS/ ,
sales,6461,16-08-2014,00964 / EIH,,Documentation charges,00964 / EIH,250,JOBNO:00964/ AWB/BL.NO.:60756511044 dt.21/07/2014/ BE.NO.:6284877 dt.30/07/2014/ AIR VALVE 4-WAY 1/8 NPT  RIGHT HAND   AJAX J 1586809 ( 2 PCS@ USD 154.00/PCS)  (LAUNDRY MACHINE PARTS)/ 1 PKG/32 KGS/ ,
sales,6461,16-08-2014,00964 / EIH,,Delivery Expenses,00964 / EIH,500,JOBNO:00964/ AWB/BL.NO.:60756511044 dt.21/07/2014/ BE.NO.:6284877 dt.30/07/2014/ AIR VALVE 4-WAY 1/8 NPT  RIGHT HAND   AJAX J 1586809 ( 2 PCS@ USD 154.00/PCS)  (LAUNDRY MACHINE PARTS)/ 1 PKG/32 KGS/ ,
sales,6461,16-08-2014,00964 / EIH,,AAI Charges,00964 / EIH,1310,JOBNO:00964/ AWB/BL.NO.:60756511044 dt.21/07/2014/ BE.NO.:6284877 dt.30/07/2014/ AIR VALVE 4-WAY 1/8 NPT  RIGHT HAND   AJAX J 1586809 ( 2 PCS@ USD 154.00/PCS)  (LAUNDRY MACHINE PARTS)/ 1 PKG/32 KGS/ ,
sales,6461,16-08-2014,00964 / EIH,,Service Tax,00964 / EIH,401.7,JOBNO:00964/ AWB/BL.NO.:60756511044 dt.21/07/2014/ BE.NO.:6284877 dt.30/07/2014/ AIR VALVE 4-WAY 1/8 NPT  RIGHT HAND   AJAX J 1586809 ( 2 PCS@ USD 154.00/PCS)  (LAUNDRY MACHINE PARTS)/ 1 PKG/32 KGS/ ,
sales,6462,16-08-2014,00964 / EIH,EIH ASSOCIATED HOTELS LIMITED,,00964 / EIH,1855.62,JOBNO:00964/ AWB/BL.NO.:60756511044 dt.21/07/2014/ BE.NO.:6284877 dt.30/07/2014/ AIR VALVE 4-WAY 1/8 NPT  RIGHT HAND   AJAX J 1586809 ( 2 PCS@ USD 154.00/PCS)  (LAUNDRY MACHINE PARTS)/ 1 PKG/32 KGS/ ,
sales,6462,16-08-2014,00964 / EIH,,Transport Charges,00964 / EIH,1800,JOBNO:00964/ AWB/BL.NO.:60756511044 dt.21/07/2014/ BE.NO.:6284877 dt.30/07/2014/ AIR VALVE 4-WAY 1/8 NPT  RIGHT HAND   AJAX J 1586809 ( 2 PCS@ USD 154.00/PCS)  (LAUNDRY MACHINE PARTS)/ 1 PKG/32 KGS/ ,
sales,6462,16-08-2014,00964 / EIH,,Service Tax,00964 / EIH,55.62,JOBNO:00964/ AWB/BL.NO.:60756511044 dt.21/07/2014/ BE.NO.:6284877 dt.30/07/2014/ AIR VALVE 4-WAY 1/8 NPT  RIGHT HAND   AJAX J 1586809 ( 2 PCS@ USD 154.00/PCS)  (LAUNDRY MACHINE PARTS)/ 1 PKG/32 KGS/ ,
sales,6463,16-08-2014,00875 / Rittz,Rittz Acessories ,,00875 / Rittz,212408.06,JOBNO:00875/ AWB/BL.NO.:O244A12947 dt.26/06/2014/ BE.NO.:6168986 dt.19/07/2014/ SYNTHETIC CLUTCH WALLETS(CW001)/ 960 CTN/9680 KGS/ ,
sales,6463,16-08-2014,00875 / Rittz,,Agency charges,00875 / Rittz,7500,JOBNO:00875/ AWB/BL.NO.:O244A12947 dt.26/06/2014/ BE.NO.:6168986 dt.19/07/2014/ SYNTHETIC CLUTCH WALLETS(CW001)/ 960 CTN/9680 KGS/ ,
sales,6463,16-08-2014,00875 / Rittz,,Documentation charges,00875 / Rittz,250,JOBNO:00875/ AWB/BL.NO.:O244A12947 dt.26/06/2014/ BE.NO.:6168986 dt.19/07/2014/ SYNTHETIC CLUTCH WALLETS(CW001)/ 960 CTN/9680 KGS/ ,
sales,6463,16-08-2014,00875 / Rittz,,Delivery Expenses,00875 / Rittz,1000,JOBNO:00875/ AWB/BL.NO.:O244A12947 dt.26/06/2014/ BE.NO.:6168986 dt.19/07/2014/ SYNTHETIC CLUTCH WALLETS(CW001)/ 960 CTN/9680 KGS/ ,
sales,6463,16-08-2014,00875 / Rittz,,Misc. Expenses,00875 / Rittz,4600,JOBNO:00875/ AWB/BL.NO.:O244A12947 dt.26/06/2014/ BE.NO.:6168986 dt.19/07/2014/ SYNTHETIC CLUTCH WALLETS(CW001)/ 960 CTN/9680 KGS/ ,
sales,6463,16-08-2014,00875 / Rittz,,CFS Charges,00875 / Rittz,18365,JOBNO:00875/ AWB/BL.NO.:O244A12947 dt.26/06/2014/ BE.NO.:6168986 dt.19/07/2014/ SYNTHETIC CLUTCH WALLETS(CW001)/ 960 CTN/9680 KGS/ ,
sales,6463,16-08-2014,00875 / Rittz,,DO CHARGES,00875 / Rittz,15926,JOBNO:00875/ AWB/BL.NO.:O244A12947 dt.26/06/2014/ BE.NO.:6168986 dt.19/07/2014/ SYNTHETIC CLUTCH WALLETS(CW001)/ 960 CTN/9680 KGS/ ,
sales,6463,16-08-2014,00875 / Rittz,,Custom Duty,00875 / Rittz,163117,JOBNO:00875/ AWB/BL.NO.:O244A12947 dt.26/06/2014/ BE.NO.:6168986 dt.19/07/2014/ SYNTHETIC CLUTCH WALLETS(CW001)/ 960 CTN/9680 KGS/ ,
sales,6463,16-08-2014,00875 / Rittz,,Service Tax,00875 / Rittz,1650.06,JOBNO:00875/ AWB/BL.NO.:O244A12947 dt.26/06/2014/ BE.NO.:6168986 dt.19/07/2014/ SYNTHETIC CLUTCH WALLETS(CW001)/ 960 CTN/9680 KGS/ ,
sales,6464,16-08-2014,00875 / Rittz,Rittz Acessories ,,00875 / Rittz,15463.5,JOBNO:00875/ AWB/BL.NO.:O244A12947 dt.26/06/2014/ BE.NO.:6168986 dt.19/07/2014/ SYNTHETIC CLUTCH WALLETS(CW001)/ 960 CTN/9680 KGS/ ,
sales,6464,16-08-2014,00875 / Rittz,,Transport Charges,00875 / Rittz,15000,JOBNO:00875/ AWB/BL.NO.:O244A12947 dt.26/06/2014/ BE.NO.:6168986 dt.19/07/2014/ SYNTHETIC CLUTCH WALLETS(CW001)/ 960 CTN/9680 KGS/ ,
sales,6464,16-08-2014,00875 / Rittz,,Service Tax,00875 / Rittz,463.5,JOBNO:00875/ AWB/BL.NO.:O244A12947 dt.26/06/2014/ BE.NO.:6168986 dt.19/07/2014/ SYNTHETIC CLUTCH WALLETS(CW001)/ 960 CTN/9680 KGS/ ,
sales,6465,16-08-2014,00982 / AADI,AADI INTERNATIONAL ,,00982 / AADI,960616.8,JOBNO:00982/ AWB/BL.NO.:WLDS1407212096 dt.08/06/2014/ BE.NO.:00982 dt.31/07/2014/ FLOCKED FABRIC WITH DISCHARGE PRINT WITH SYNTHETIC BACKING (WIDTH:145CMS) (52970.01 MTR @ USD 0.95/MTR)/ 988 PKG/19724 KGS/ ,
sales,6465,16-08-2014,00982 / AADI,,Agency charges,00982 / AADI,10000,JOBNO:00982/ AWB/BL.NO.:WLDS1407212096 dt.08/06/2014/ BE.NO.:00982 dt.31/07/2014/ FLOCKED FABRIC WITH DISCHARGE PRINT WITH SYNTHETIC BACKING (WIDTH:145CMS) (52970.01 MTR @ USD 0.95/MTR)/ 988 PKG/19724 KGS/ ,
sales,6465,16-08-2014,00982 / AADI,,Documentation charges,00982 / AADI,250,JOBNO:00982/ AWB/BL.NO.:WLDS1407212096 dt.08/06/2014/ BE.NO.:00982 dt.31/07/2014/ FLOCKED FABRIC WITH DISCHARGE PRINT WITH SYNTHETIC BACKING (WIDTH:145CMS) (52970.01 MTR @ USD 0.95/MTR)/ 988 PKG/19724 KGS/ ,
sales,6465,16-08-2014,00982 / AADI,,Delivery Expenses,00982 / AADI,750,JOBNO:00982/ AWB/BL.NO.:WLDS1407212096 dt.08/06/2014/ BE.NO.:00982 dt.31/07/2014/ FLOCKED FABRIC WITH DISCHARGE PRINT WITH SYNTHETIC BACKING (WIDTH:145CMS) (52970.01 MTR @ USD 0.95/MTR)/ 988 PKG/19724 KGS/ ,
sales,6465,16-08-2014,00982 / AADI,,Misc. Expenses,00982 / AADI,1000,JOBNO:00982/ AWB/BL.NO.:WLDS1407212096 dt.08/06/2014/ BE.NO.:00982 dt.31/07/2014/ FLOCKED FABRIC WITH DISCHARGE PRINT WITH SYNTHETIC BACKING (WIDTH:145CMS) (52970.01 MTR @ USD 0.95/MTR)/ 988 PKG/19724 KGS/ ,
sales,6465,16-08-2014,00982 / AADI,,CFS Charges,00982 / AADI,20787,JOBNO:00982/ AWB/BL.NO.:WLDS1407212096 dt.08/06/2014/ BE.NO.:00982 dt.31/07/2014/ FLOCKED FABRIC WITH DISCHARGE PRINT WITH SYNTHETIC BACKING (WIDTH:145CMS) (52970.01 MTR @ USD 0.95/MTR)/ 988 PKG/19724 KGS/ ,
sales,6465,16-08-2014,00982 / AADI,,Custom Duty,00982 / AADI,900110,JOBNO:00982/ AWB/BL.NO.:WLDS1407212096 dt.08/06/2014/ BE.NO.:00982 dt.31/07/2014/ FLOCKED FABRIC WITH DISCHARGE PRINT WITH SYNTHETIC BACKING (WIDTH:145CMS) (52970.01 MTR @ USD 0.95/MTR)/ 988 PKG/19724 KGS/ ,
sales,6465,16-08-2014,00982 / AADI,,Duty Handling Charges,00982 / AADI,1000,JOBNO:00982/ AWB/BL.NO.:WLDS1407212096 dt.08/06/2014/ BE.NO.:00982 dt.31/07/2014/ FLOCKED FABRIC WITH DISCHARGE PRINT WITH SYNTHETIC BACKING (WIDTH:145CMS) (52970.01 MTR @ USD 0.95/MTR)/ 988 PKG/19724 KGS/ ,
sales,6465,16-08-2014,00982 / AADI,,DO CHARGES,00982 / AADI,25113,JOBNO:00982/ AWB/BL.NO.:WLDS1407212096 dt.08/06/2014/ BE.NO.:00982 dt.31/07/2014/ FLOCKED FABRIC WITH DISCHARGE PRINT WITH SYNTHETIC BACKING (WIDTH:145CMS) (52970.01 MTR @ USD 0.95/MTR)/ 988 PKG/19724 KGS/ ,
sales,6465,16-08-2014,00982 / AADI,,Service Tax,00982 / AADI,1606.8,JOBNO:00982/ AWB/BL.NO.:WLDS1407212096 dt.08/06/2014/ BE.NO.:00982 dt.31/07/2014/ FLOCKED FABRIC WITH DISCHARGE PRINT WITH SYNTHETIC BACKING (WIDTH:145CMS) (52970.01 MTR @ USD 0.95/MTR)/ 988 PKG/19724 KGS/ ,
sales,6466,16-08-2014,00982 / AADI,AADI INTERNATIONAL ,,00982 / AADI,14432.6,JOBNO:00982/ AWB/BL.NO.:WLDS1407212096 dt.08/06/2014/ BE.NO.:00982 dt.31/07/2014/ FLOCKED FABRIC WITH DISCHARGE PRINT WITH SYNTHETIC BACKING (WIDTH:145CMS) (52970.01 MTR @ USD 0.95/MTR)/ 988 PKG/19724 KGS/ ,
sales,6466,16-08-2014,00982 / AADI,,Transport Charges,00982 / AADI,14000,JOBNO:00982/ AWB/BL.NO.:WLDS1407212096 dt.08/06/2014/ BE.NO.:00982 dt.31/07/2014/ FLOCKED FABRIC WITH DISCHARGE PRINT WITH SYNTHETIC BACKING (WIDTH:145CMS) (52970.01 MTR @ USD 0.95/MTR)/ 988 PKG/19724 KGS/ ,
sales,6466,16-08-2014,00982 / AADI,,Service Tax,00982 / AADI,432.6,JOBNO:00982/ AWB/BL.NO.:WLDS1407212096 dt.08/06/2014/ BE.NO.:00982 dt.31/07/2014/ FLOCKED FABRIC WITH DISCHARGE PRINT WITH SYNTHETIC BACKING (WIDTH:145CMS) (52970.01 MTR @ USD 0.95/MTR)/ 988 PKG/19724 KGS/ ,
sales,6467,16-08-2014,00779 / MARBLE,MARBLE PALACE INTERNATIONAL PVT. LTD. ,,00779 / MARBLE,127817.1,JOBNO:00779/ AWB/BL.NO.:HDMUHKIH0883655 dt.20/06/2014/ BE.NO.:6046031 dt.07/07/2014/ POLISHED MARBLE SLABS/ 16 PKG/55000 KGS/ ,
sales,6467,16-08-2014,00779 / MARBLE,,Agency charges,00779 / MARBLE,10000,JOBNO:00779/ AWB/BL.NO.:HDMUHKIH0883655 dt.20/06/2014/ BE.NO.:6046031 dt.07/07/2014/ POLISHED MARBLE SLABS/ 16 PKG/55000 KGS/ ,
sales,6467,16-08-2014,00779 / MARBLE,,Documentation charges,00779 / MARBLE,250,JOBNO:00779/ AWB/BL.NO.:HDMUHKIH0883655 dt.20/06/2014/ BE.NO.:6046031 dt.07/07/2014/ POLISHED MARBLE SLABS/ 16 PKG/55000 KGS/ ,
sales,6467,16-08-2014,00779 / MARBLE,,Delivery Expenses,00779 / MARBLE,500,JOBNO:00779/ AWB/BL.NO.:HDMUHKIH0883655 dt.20/06/2014/ BE.NO.:6046031 dt.07/07/2014/ POLISHED MARBLE SLABS/ 16 PKG/55000 KGS/ ,
sales,6467,16-08-2014,00779 / MARBLE,,Misc. Expenses,00779 / MARBLE,4000,JOBNO:00779/ AWB/BL.NO.:HDMUHKIH0883655 dt.20/06/2014/ BE.NO.:6046031 dt.07/07/2014/ POLISHED MARBLE SLABS/ 16 PKG/55000 KGS/ ,
sales,6467,16-08-2014,00779 / MARBLE,,CFS Charges,00779 / MARBLE,41035,JOBNO:00779/ AWB/BL.NO.:HDMUHKIH0883655 dt.20/06/2014/ BE.NO.:6046031 dt.07/07/2014/ POLISHED MARBLE SLABS/ 16 PKG/55000 KGS/ ,
sales,6467,16-08-2014,00779 / MARBLE,,DO CHARGES,00779 / MARBLE,70209,JOBNO:00779/ AWB/BL.NO.:HDMUHKIH0883655 dt.20/06/2014/ BE.NO.:6046031 dt.07/07/2014/ POLISHED MARBLE SLABS/ 16 PKG/55000 KGS/ ,
sales,6467,16-08-2014,00779 / MARBLE,,Service Tax,00779 / MARBLE,1823.1,JOBNO:00779/ AWB/BL.NO.:HDMUHKIH0883655 dt.20/06/2014/ BE.NO.:6046031 dt.07/07/2014/ POLISHED MARBLE SLABS/ 16 PKG/55000 KGS/ ,
sales,6468,16-08-2014,00920 / ALAPALA,ALAPALA DIS TICARET LTD.,,00920 / ALAPALA,49901.7,JOBNO:00920/ AWB/BL.NO.:SGSININMAA720752 dt.09/07/2014/ BE.NO.:6350012 dt.05/08/2014/ PURIFIER -DISA 46/200 (SERIAL NO 14690) (1X(290X130X220)[RE- EXPORT AFTER EXHIBITION) (EXHIBITION GOODS FOR GRAINTECH INDIA 2014  BANGALORE)/ 2 PKG/1540 KGS/ ,
sales,6468,16-08-2014,00920 / ALAPALA,,Agency charges,00920 / ALAPALA,5000,JOBNO:00920/ AWB/BL.NO.:SGSININMAA720752 dt.09/07/2014/ BE.NO.:6350012 dt.05/08/2014/ PURIFIER -DISA 46/200 (SERIAL NO 14690) (1X(290X130X220)[RE- EXPORT AFTER EXHIBITION) (EXHIBITION GOODS FOR GRAINTECH INDIA 2014  BANGALORE)/ 2 PKG/1540 KGS/ ,
sales,6468,16-08-2014,00920 / ALAPALA,,Documentation charges,00920 / ALAPALA,250,JOBNO:00920/ AWB/BL.NO.:SGSININMAA720752 dt.09/07/2014/ BE.NO.:6350012 dt.05/08/2014/ PURIFIER -DISA 46/200 (SERIAL NO 14690) (1X(290X130X220)[RE- EXPORT AFTER EXHIBITION) (EXHIBITION GOODS FOR GRAINTECH INDIA 2014  BANGALORE)/ 2 PKG/1540 KGS/ ,
sales,6468,16-08-2014,00920 / ALAPALA,,Re-Export Formalities,00920 / ALAPALA,3000,JOBNO:00920/ AWB/BL.NO.:SGSININMAA720752 dt.09/07/2014/ BE.NO.:6350012 dt.05/08/2014/ PURIFIER -DISA 46/200 (SERIAL NO 14690) (1X(290X130X220)[RE- EXPORT AFTER EXHIBITION) (EXHIBITION GOODS FOR GRAINTECH INDIA 2014  BANGALORE)/ 2 PKG/1540 KGS/ ,
sales,6468,16-08-2014,00920 / ALAPALA,,Custom Processing Charges,00920 / ALAPALA,10000,JOBNO:00920/ AWB/BL.NO.:SGSININMAA720752 dt.09/07/2014/ BE.NO.:6350012 dt.05/08/2014/ PURIFIER -DISA 46/200 (SERIAL NO 14690) (1X(290X130X220)[RE- EXPORT AFTER EXHIBITION) (EXHIBITION GOODS FOR GRAINTECH INDIA 2014  BANGALORE)/ 2 PKG/1540 KGS/ ,
sales,6468,16-08-2014,00920 / ALAPALA,,Custom Duty - Dummy IEC,00920 / ALAPALA,4000,JOBNO:00920/ AWB/BL.NO.:SGSININMAA720752 dt.09/07/2014/ BE.NO.:6350012 dt.05/08/2014/ PURIFIER -DISA 46/200 (SERIAL NO 14690) (1X(290X130X220)[RE- EXPORT AFTER EXHIBITION) (EXHIBITION GOODS FOR GRAINTECH INDIA 2014  BANGALORE)/ 2 PKG/1540 KGS/ ,
sales,6468,16-08-2014,00920 / ALAPALA,,CFS Charges,00920 / ALAPALA,25396,JOBNO:00920/ AWB/BL.NO.:SGSININMAA720752 dt.09/07/2014/ BE.NO.:6350012 dt.05/08/2014/ PURIFIER -DISA 46/200 (SERIAL NO 14690) (1X(290X130X220)[RE- EXPORT AFTER EXHIBITION) (EXHIBITION GOODS FOR GRAINTECH INDIA 2014  BANGALORE)/ 2 PKG/1540 KGS/ ,
sales,6468,16-08-2014,00920 / ALAPALA,,Service Tax,00920 / ALAPALA,2255.7,JOBNO:00920/ AWB/BL.NO.:SGSININMAA720752 dt.09/07/2014/ BE.NO.:6350012 dt.05/08/2014/ PURIFIER -DISA 46/200 (SERIAL NO 14690) (1X(290X130X220)[RE- EXPORT AFTER EXHIBITION) (EXHIBITION GOODS FOR GRAINTECH INDIA 2014  BANGALORE)/ 2 PKG/1540 KGS/ ,
sales,6469,18-08-2014,00931 / AM-ZONE,AM-ZONE INTERNATIONAL PVT LTD,,00931 / AM-ZONE,339197.3,JOBNO:00931/ AWB/BL.NO.:PUSMAA1400049 dt.30/06/2014/ BE.NO.:6238354 dt.25/07/2014/ 08MM 08X19(SL)+PP UNGALVANISED STEEL WIRE ROPE  RHEL  LUB A-1 1770 GRADE LENTH 1000 MTRS(5 MTR @ USD 370.00/MTR)/ 16 PKG/18060 KGS/ ,
